データ,ランク系特殊能力,カテゴリ,出現数,出現率%
実在12球団,回復E,ランク系,317,40.13
実在12球団,ケガしにくさE,ランク系,197,24.94
実在12球団,送球E,ランク系,120,15.19
実在12球団,ノビC,ランク系,111,14.05
実在12球団,走塁C,ランク系,109,13.8
実在12球団,回復C,ランク系,108,13.67
実在12球団,対左打者E,ランク系,104,13.16
実在12球団,対左投手E,ランク系,87,11.01
実在12球団,打たれ強さC,ランク系,84,10.63
実在12球団,チャンスC,ランク系,81,10.25
実在12球団,クイックE,ランク系,78,9.87
実在12球団,対左投手C,ランク系,74,9.37
実在12球団,回復F,ランク系,72,9.11
実在12球団,送球C,ランク系,71,8.99
実在12球団,盗塁E,ランク系,69,8.73
実在12球団,ノビE,ランク系,63,7.97
実在12球団,対ピンチC,ランク系,60,7.59
実在12球団,対左打者C,ランク系,60,7.59
実在12球団,対ピンチE,ランク系,56,7.09
実在12球団,チャンスE,ランク系,56,7.09
実在12球団,クイックC,ランク系,54,6.84
実在12球団,盗塁C,ランク系,54,6.84
実在12球団,ケガしにくさF,ランク系,53,6.71
実在12球団,ケガしにくさC,ランク系,48,6.08
実在12球団,打たれ強さE,ランク系,47,5.95
実在12球団,回復B,ランク系,45,5.7
実在12球団,走塁B,ランク系,45,5.7
実在12球団,ノビB,ランク系,34,4.3
実在12球団,打たれ強さB,ランク系,32,4.05
実在12球団,対左打者F,ランク系,31,3.92
実在12球団,対左投手F,ランク系,26,3.29
実在12球団,キャッチャーE,ランク系,23,2.91
実在12球団,送球B,ランク系,23,2.91
実在12球団,送球F,ランク系,22,2.78
実在12球団,ケガしにくさB,ランク系,21,2.66
実在12球団,盗塁F,ランク系,21,2.66
実在12球団,キャッチャーF,ランク系,19,2.41
実在12球団,対左投手B,ランク系,19,2.41
実在12球団,ノビF,ランク系,17,2.15
実在12球団,クイックB,ランク系,13,1.65
実在12球団,走塁E,ランク系,13,1.65
実在12球団,クイックF,ランク系,12,1.52
実在12球団,チャンスB,ランク系,11,1.39
実在12球団,対左打者B,ランク系,11,1.39
実在12球団,盗塁B,ランク系,10,1.27
実在12球団,ケガしにくさG,ランク系,7,0.89
